fab_a_alias,fab_b_alias
HRCVCFPL2ESXi01_Port1,HRCVCFPL2ESXi01_Port2
HRCVCFPL2ESXi02_Port1,HRCVCFPL2ESXi02_Port2
HRCVCFPL2ESXi03_Port1,HRCVCFPL2ESXi03_Port2
HRCVCFPL2ESXi04_Port1,HRCVCFPL2ESXi04_Port2
HRCVCFPL2ESXi05_Port1,HRCVCFPL2ESXi05_Port2
HRCVCFPL2ESXi06_Port1,HRCVCFPL2ESXi06_Port2
HRCVCFPL2ESXi07_Port1,HRCVCFPL2ESXi07_Port2
HRCVCFPL2ESXi08_Port1,HRCVCFPL2ESXi08_Port2
HRCVCFPL2ESXi09_Port1,HRCVCFPL2ESXi09_Port2
HRCVCFPL2ESXi10_Port1,HRCVCFPL2ESXi10_Port2
HRCVCFPL2ESXi11_Port1,HRCVCFPL2ESXi11_Port2
HRCVCFPL2ESXi12_Port1,HRCVCFPL2ESXi12_Port2
HRCVCFPL2ESXi13_Port1,HRCVCFPL2ESXi13_Port2
HRCVCFPL2ESXi14_Port1,HRCVCFPL2ESXi14_Port2
HRCVCFPL2ESXi15_Port1,HRCVCFPL2ESXi15_Port2
HRCVCFPL2ESXi16_Port1,HRCVCFPL2ESXi16_Port2
HRCVCFPL2ESXi17_Port1,HRCVCFPL2ESXi17_Port2
HRCVCFPL2ESXi18_Port1,HRCVCFPL2ESXi18_Port2
HRCVCFPL2ESXi19_Port1,HRCVCFPL2ESXi19_Port2
HRCVCFPL2ESXi20_Port1,HRCVCFPL2ESXi20_Port2
HRCVCFPL2ESXi21_Port1,HRCVCFPL2ESXi21_Port2
HRCVCFPL2ESXi22_Port1,HRCVCFPL2ESXi22_Port2
HRCVCFPL2ESXi23_Port1,HRCVCFPL2ESXi23_Port2
HRCVCFPL2ESXi24_Port1,HRCVCFPL2ESXi24_Port2
HRCVCFPL2ESXi25_Port1,HRCVCFPL2ESXi25_Port2
HRCVCFPL2ESXi26_Port1,HRCVCFPL2ESXi26_Port2

